Question_ID,Title,Category,Difficulty,Question,Phi4_Response_Time,Phi4_Word_Count,Phi4_Says_Dont_Know,Phi4_Uncertainty_Score,Phi4_Citations,GPT4o_Response_Time,GPT4o_Word_Count,GPT4o_Says_Dont_Know,GPT4o_Uncertainty_Score,GPT4o_Cost_USD,GPT4o_Citations,Recommended_Model,Speed_Winner,Better_Uncertainty,Lower_Fabrication_Risk
q1,CPU Manager Policy Behavior with Shared Pools,resource management,expert,"In Kubernetes v1.32.0, how does the CPU Manager handle CPU allocation when both Guaranteed and Burst...",209.39,372,False,0.3333333333333333,False,1.4,3,True,0.6666666666666666,2e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
q2,Dynamic Resource Allocation (DRA) Scheduling Interactions,scheduling,expert,How does Kubernetes v1.32.0 scheduler handle multiple ResourceClaimTemplates attached to a pod when ...,188.97,320,False,0.6666666666666666,True,1.15,3,True,0.6666666666666666,2e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
q3,Server-side Apply Conflict Resolution under High Load,api consistency,expert,"In Kubernetes v1.32.0, how does server-side apply handle field conflicts when multiple clients attem...",193.87,335,False,0.3333333333333333,True,1.39,3,True,0.6666666666666666,1.9e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
q4,Dual-stack Service Stability on Node Restarts,networking,expert,What mechanisms ensure consistency of dual-stack Services (IPv4 + IPv6) after kube-proxy recovers fr...,283.45,467,True,0.8,True,0.74,3,True,0.6666666666666666,2e-05,False,gpt4o,gpt4o,phi4,gpt4o
q5,Node Shutdown Graceful Termination on Windows,node lifecycle,expert,"How does Kubernetes v1.32.0 ensure ordered graceful shutdown of containers on Windows nodes, especia...",207.29,332,False,0.0,True,1.03,3,True,0.6666666666666666,1.9e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
q6,TLS Cipher Suite Deprecation Impacts,security,expert,What compatibility issues arise from Kubernetes v1.32.0 removing TLS_RSA cipher suites from kube-api...,140.7,257,False,0.75,False,1.45,3,True,0.6666666666666666,1.9e-05,False,gpt4o,gpt4o,phi4,gpt4o
q7,PodDisruptionBudget (PDB) Enforcement in Upgrade Scenarios,availability,expert,"During Kubernetes v1.32.0 version upgrades, how are PodDisruptionBudgets enforced when automated too...",133.94,231,False,0.5,False,0.81,3,True,0.6666666666666666,2e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
q8,StatefulSet VolumeClaimTemplate AutoDeletion Behavior,storage,expert,How does Kubernetes v1.32.0 handle PVC deletion when StatefulSet pods are deleted or scaled down wit...,179.86,288,False,0.3333333333333333,False,0.78,3,True,0.6666666666666666,1.8e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
q9,Ordered Pod Termination with Sidecars,pod lifecycle,expert,"When Kubernetes v1.32.0 uses the OrderedReady pod termination alpha feature, how is sidecar shutdown...",119.08,251,False,0.5,True,0.8,3,True,0.6666666666666666,1.9e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
q10,MemoryManager Behavior with HugePages,resource management,expert,How does Kubernetes v1.32.0 MemoryManager interact with HugePages allocations when dynamic policy an...,154.43,307,False,0.6666666666666666,True,0.85,3,True,0.6666666666666666,1.8e-05,False,gpt4o,gpt4o,gpt4o,gpt4o
